,Unnamed: 0.1,index,road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,lanes,model_type,Unnamed: 0,gap,road_to,distance_to_closest,closest_lat,closest_lon,id,cumulative_length,vul_cat
0,0,0,N1,,Others,LRPS,Start of Road  after Jatrabari Flyover infront of filling station.,0.0,,,,0.0,,,,,,,,23.7060278,90.443333,,,sourcesink,0.0,,,,,,1.0,0.0,
1,1,1,N1,,,,link 1,1776.6503727117522,,,,,,,,,,,,23.69509409,90.46662511999986,,,link,,,,,,,2.0,1776.6503727117522,
2,2,2,N1,1.8,Box Culvert,LRP001a,bridge 2,11.3,A,117861.0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,1.8,19.5,2005.0,2.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.69873866,90.4588610799999,interpolate,6.0,bridge,,,,,,,3.0,1787.9503727117522,0.0
3,3,3,N1,,,,link 2,2978.6631774285165,,,,,,,,,,,,23.6926264245454,90.50223183727276,,,link,,,,,,,4.0,4766.613550140269,
4,4,4,N1,4.925,Box Culvert,LRP004b,bridge 3,6.6,A,117862.0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,4.925,35.4,2006.0,1.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.6946638363636,90.4877749181818,interpolate,8.0,bridge,,,,,,,5.0,4773.213550140269,0.2
5,5,5,N1,,,,link 3,3788.97473007207,,,,,,,,,,,,23.71025792066945,90.54093376043603,,,link,,,,,,,6.0,8562.18828021234,
6,6,6,N1,8.976,PC Girder Bridge,LRP008b,KANCHPUR PC GIRDER BRIDGE,397.0,C,101102.0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,8.976,14.65,1986.0,8.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.7050598925675,90.5232141463513,interpolate,4.0,bridge,,,,,,,7.0,8959.18828021234,0.2
7,7,7,N1,,,,link 4,1546.4500106787464,,,,,,,,,,,,23.6920701840826,90.5410413969814,,,link,,,,,,,8.0,10505.638290891084,
8,8,8,N1,10.543,Box Culvert,LRP010a,KATCHPUR BOX CULVERT,8.0,B,101106.0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.543,21.7,1987.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6964000869109,90.5350989801047,interpolate,6.0,bridge,,,,,,,9.0,10513.638290891084,0.2
9,9,9,N1,,,,link 5,336.807384481953,,,,,,,,,,,,23.693385877748703,90.538811626178,,,link,,,,,,,10.0,10850.44567537304,
