replication,bridge_id,condition,breakdown_chance
1,3.0,A,0.0
1,5.0,A,0.0
1,9.0,C,0.0
1,11.0,B,0.0
1,13.0,A,0.0
1,15.0,A,0.0
1,17.0,A,0.0
1,19.0,B,0.0
1,21.0,A,0.0
1,23.0,A,0.0
1,25.0,A,0.0
1,27.0,A,0.0
1,29.0,A,0.0
1,31.0,B,0.0
1,33.0,C,0.0
1,35.0,A,0.0
1,37.0,B,0.0
1,39.0,B,0.0
1,41.0,C,0.0
1,43.0,A,0.0
1,45.0,B,0.0
1,47.0,A,0.0
1,49.0,B,0.0
1,51.0,B,0.0
1,53.0,B,0.0
1,55.0,C,0.0
1,57.0,A,0.0
1,59.0,A,0.0
1,61.0,A,0.0
1,63.0,A,0.0
1,65.0,A,0.0
1,67.0,A,0.0
1,69.0,B,0.0
1,71.0,A,0.0
1,73.0,A,0.0
1,75.0,A,0.0
1,77.0,A,0.0
1,79.0,A,0.0
1,81.0,C,0.0
1,83.0,A,0.0
1,85.0,B,0.0
1,87.0,A,0.0
1,89.0,C,0.0
1,91.0,C,0.0
1,93.0,B,0.0
1,95.0,C,0.0
1,97.0,C,0.0
1,101.0,C,0.0
1,105.0,C,0.0
1,107.0,A,0.0
1,109.0,C,0.0
1,113.0,C,0.0
1,115.0,B,0.0
1,117.0,B,0.0
1,119.0,B,0.0
1,121.0,A,0.0
1,123.0,B,0.0
1,125.0,A,0.0
1,127.0,C,0.0
1,129.0,B,0.0
1,131.0,B,0.0
1,133.0,A,0.0
1,135.0,C,0.0
1,137.0,B,0.0
1,141.0,A,0.0
1,143.0,A,0.0
1,145.0,C,0.0
1,147.0,C,0.0
1,151.0,C,0.0
1,153.0,C,0.0
1,155.0,A,0.0
1,157.0,C,0.0
1,159.0,A,0.0
1,161.0,A,0.0
1,163.0,A,0.0
1,165.0,B,0.0
1,167.0,B,0.0
1,169.0,A,0.0
1,171.0,A,0.0
1,173.0,B,0.0
1,175.0,B,0.0
1,177.0,B,0.0
1,179.0,B,0.0
1,181.0,B,0.0
1,183.0,B,0.0
1,185.0,B,0.0
1,187.0,B,0.0
1,189.0,A,0.0
1,191.0,A,0.0
1,193.0,B,0.0
1,195.0,B,0.0
1,197.0,A,0.0
1,199.0,B,0.0
1,201.0,A,0.0
1,203.0,A,0.0
1,205.0,C,0.0
1,207.0,B,0.0
1,209.0,B,0.0
1,211.0,A,0.0
1,213.0,B,0.0
1,217.0,B,0.0
1,219.0,B,0.0
1,221.0,B,0.0
1,223.0,A,0.0
1,225.0,B,0.0
1,227.0,B,0.0
1,229.0,A,0.0
1,231.0,B,0.0
1,233.0,B,0.0
1,235.0,A,0.0
1,237.0,B,0.0
1,239.0,A,0.0
1,241.0,B,0.0
1,243.0,B,0.0
1,247.0,B,0.0
1,251.0,A,0.0
1,253.0,A,0.0
1,255.0,A,0.0
1,259.0,A,0.0
1,261.0,B,0.0
1,263.0,A,0.0
1,265.0,A,0.0
1,271.0,C,0.0
1,273.0,A,0.0
1,275.0,B,0.0
1,277.0,B,0.0
1,279.0,A,0.0
1,281.0,A,0.0
1,285.0,A,0.0
1,287.0,A,0.0
1,289.0,A,0.0
1,291.0,A,0.0
1,293.0,A,0.0
1,295.0,A,0.0
1,297.0,A,0.0
1,299.0,A,0.0
1,301.0,A,0.0
1,303.0,A,0.0
1,305.0,A,0.0
1,307.0,A,0.0
1,309.0,A,0.0
1,311.0,A,0.0
1,313.0,C,0.0
1,315.0,B,0.0
1,317.0,A,0.0
1,319.0,B,0.0
1,321.0,A,0.0
1,323.0,A,0.0
1,325.0,A,0.0
1,327.0,A,0.0
1,329.0,A,0.0
1,331.0,B,0.0
1,333.0,A,0.0
1,335.0,A,0.0
1,337.0,A,0.0
1,339.0,C,0.0
1,341.0,A,0.0
1,343.0,A,0.0
1,345.0,A,0.0
1,347.0,A,0.0
1,349.0,A,0.0
1,351.0,A,0.0
1,353.0,A,0.0
1,355.0,A,0.0
1,357.0,A,0.0
1,359.0,A,0.0
1,361.0,A,0.0
1,363.0,A,0.0
1,365.0,A,0.0
1,367.0,B,0.0
1,369.0,A,0.0
1,371.0,A,0.0
1,373.0,A,0.0
1,375.0,A,0.0
1,377.0,A,0.0
1,379.0,B,0.0
1,381.0,B,0.0
1,383.0,A,0.0
1,385.0,C,0.0
1,387.0,A,0.0
1,389.0,A,0.0
1,391.0,A,0.0
1,393.0,A,0.0
1,395.0,A,0.0
1,397.0,A,0.0
1,399.0,B,0.0
1,401.0,A,0.0
1,403.0,A,0.0
1,405.0,A,0.0
1,407.0,A,0.0
1,409.0,B,0.0
1,411.0,C,0.0
1,413.0,A,0.0
1,415.0,A,0.0
1,417.0,B,0.0
1,419.0,A,0.0
1,421.0,D,0.0
1,423.0,A,0.0
1,425.0,D,0.0
1,427.0,A,0.0
1,429.0,C,0.0
1,431.0,A,0.0
1,433.0,A,0.0
1,435.0,B,0.0
1,437.0,A,0.0
1,439.0,A,0.0
1,441.0,A,0.0
1,443.0,A,0.0
1,445.0,A,0.0
1,447.0,A,0.0
1,449.0,C,0.0
1,451.0,B,0.0
1,453.0,C,0.0
1,455.0,C,0.0
1,457.0,C,0.0
1,459.0,C,0.0
1,461.0,C,0.0
1,463.0,C,0.0
1,465.0,A,0.0
1,467.0,B,0.0
1,469.0,A,0.0
1,471.0,A,0.0
1,473.0,A,0.0
1,475.0,A,0.0
1,477.0,A,0.0
1,479.0,C,0.0
1,481.0,B,0.0
1,483.0,B,0.0
1,485.0,A,0.0
1,487.0,B,0.0
1,489.0,A,0.0
1,491.0,A,0.0
1,493.0,A,0.0
1,495.0,A,0.0
1,497.0,C,0.0
1,501.0,A,0.0
1,503.0,C,0.0
1,505.0,B,0.0
1,507.0,A,0.0
1,509.0,C,0.0
1,511.0,C,0.0
1,513.0,A,0.0
1,515.0,A,0.0
1,517.0,A,0.0
1,519.0,A,0.0
1,521.0,A,0.0
1,523.0,B,0.0
1,525.0,B,0.0
1,527.0,A,0.0
1,529.0,A,0.0
1,531.0,D,0.0
1,533.0,B,0.0
1,535.0,B,0.0
1,537.0,C,0.0
1,539.0,A,0.0
1,541.0,A,0.0
1,543.0,A,0.0
1,545.0,A,0.0
1,547.0,A,0.0
1,549.0,A,0.0
1,551.0,A,0.0
1,553.0,A,0.0
1,555.0,A,0.0
1,557.0,A,0.0
1,559.0,A,0.0
1,561.0,A,0.0
1,563.0,B,0.0
1,565.0,A,0.0
1,567.0,A,0.0
1,569.0,A,0.0
1,571.0,A,0.0
1,573.0,A,0.0
1,575.0,A,0.0
1,577.0,A,0.0
1,579.0,A,0.0
1,581.0,A,0.0
1,583.0,A,0.0
1,585.0,A,0.0
1,587.0,A,0.0
1,589.0,A,0.0
1,591.0,A,0.0
1,593.0,A,0.0
1,595.0,A,0.0
1,597.0,A,0.0
1,599.0,A,0.0
1,601.0,A,0.0
1,603.0,B,0.0
1,605.0,B,0.0
1,607.0,A,0.0
1,609.0,A,0.0
1,611.0,A,0.0
1,613.0,A,0.0
1,615.0,A,0.0
1,617.0,A,0.0
1,619.0,A,0.0
1,621.0,B,0.0
1,623.0,A,0.0
1,625.0,A,0.0
1,627.0,A,0.0
1,629.0,A,0.0
1,631.0,A,0.0
1,633.0,A,0.0
1,635.0,A,0.0
1,637.0,A,0.0
1,639.0,A,0.0
1,641.0,A,0.0
1,643.0,A,0.0
1,645.0,A,0.0
1,647.0,A,0.0
1,649.0,C,0.0
1,651.0,A,0.0
1,653.0,A,0.0
1,655.0,A,0.0
1,657.0,A,0.0
1,659.0,A,0.0
1,661.0,A,0.0
1,663.0,C,0.0
1,665.0,A,0.0
1,667.0,A,0.0
1,669.0,A,0.0
1,671.0,A,0.0
1,673.0,A,0.0
1,675.0,B,0.0
1,677.0,A,0.0
1,679.0,D,0.0
1,681.0,B,0.0
1,683.0,A,0.0
1,685.0,A,0.0
1,687.0,C,0.0
1,689.0,A,0.0
1,693.0,A,0.0
1,695.0,A,0.0
1,697.0,C,0.0
1,699.0,A,0.0
1,701.0,A,0.0
1,703.0,C,0.0
1,705.0,C,0.0
1,707.0,A,0.0
1,709.0,B,0.0
1,711.0,B,0.0
1,713.0,A,0.0
1,715.0,A,0.0
1,717.0,A,0.0
1,719.0,A,0.0
1,721.0,A,0.0
1,723.0,C,0.0
1,725.0,A,0.0
1,727.0,A,0.0
1,729.0,A,0.0
1,731.0,A,0.0
1,733.0,A,0.0
1,735.0,A,0.0
1,737.0,C,0.0
1,739.0,A,0.0
1,741.0,A,0.0
1,743.0,A,0.0
1,745.0,A,0.0
1,747.0,A,0.0
1,749.0,A,0.0
1,751.0,A,0.0
1,753.0,A,0.0
1,755.0,A,0.0
1,757.0,A,0.0
1,759.0,A,0.0
1,761.0,A,0.0
1,763.0,A,0.0
1,765.0,A,0.0
1,767.0,B,0.0
1,769.0,A,0.0
1,771.0,A,0.0
1,773.0,B,0.0
1,775.0,A,0.0
1,777.0,A,0.0
1,779.0,A,0.0
1,781.0,A,0.0
1,783.0,A,0.0
1,785.0,A,0.0
1,787.0,A,0.0
1,789.0,A,0.0
1,791.0,A,0.0
1,793.0,A,0.0
1,795.0,A,0.0
1,797.0,A,0.0
1,799.0,A,0.0
1,801.0,A,0.0
1,803.0,A,0.0
1,805.0,A,0.0
1,807.0,A,0.0
1,809.0,A,0.0
1,811.0,C,0.0
1,813.0,A,0.0
1,815.0,A,0.0
1,817.0,A,0.0
1,819.0,C,0.0
1,821.0,C,0.0
1,823.0,C,0.0
1,825.0,B,0.0
1,827.0,C,0.0
1,829.0,A,0.0
1,831.0,A,0.0
1,833.0,B,0.0
1,835.0,B,0.0
1,837.0,A,0.0
1,839.0,A,0.0
1,841.0,A,0.0
1,843.0,A,0.0
1,845.0,D,0.0
1,847.0,A,0.0
1,849.0,A,0.0
1,851.0,C,0.0
1,853.0,C,0.0
1,855.0,A,0.0
1,857.0,C,0.0
1,859.0,C,0.0
1,861.0,B,0.0
1,863.0,C,0.0
1,865.0,C,0.0
1,867.0,B,0.0
1,869.0,B,0.0
1,871.0,A,0.0
1,873.0,A,0.0
1,875.0,B,0.0
1,877.0,A,0.0
1,879.0,C,0.0
1,881.0,A,0.0
1,883.0,A,0.0
1,885.0,C,0.0
1,887.0,A,0.0
1,889.0,A,0.0
1,891.0,C,0.0
1,893.0,C,0.0
1,895.0,A,0.0
1,897.0,A,0.0
1,899.0,A,0.0
1,901.0,B,0.0
1,903.0,C,0.0
1,905.0,B,0.0
1,907.0,B,0.0
1,909.0,A,0.0
