replication,truck_counter,bridge_id,road
1,5064,1287.0,N1
1,5064,1285.0,N1
1,678,3896.0,R301
1,5063,1283.0,N1
1,5063,1281.0,N1
1,5063,1279.0,N1
1,678,3898.0,R301
1,5056,3.0,N1
1,5062,1277.0,N1
1,5062,1275.0,N1
1,634,2820.0,R140
1,5061,1273.0,N1
1,5061,1271.0,N1
1,5060,1269.0,N1
1,5060,1267.0,N1
1,5060,1265.0,N1
1,5060,1263.0,N1
1,5060,1261.0,N1
1,5060,1259.0,N1
1,5054,5.0,N1
1,502,1475.0,N104
1,502,1477.0,N104
1,5059,1257.0,N1
1,5059,1255.0,N1
1,5059,1253.0,N1
1,5059,1251.0,N1
1,5059,1249.0,N1
1,634,2822.0,R140
1,5058,1247.0,N1
1,5058,1245.0,N1
1,5058,1243.0,N1
1,5058,1241.0,N1
1,5058,1239.0,N1
1,5683,255.0,N1
1,5058,1237.0,N1
1,5058,1235.0,N1
1,777,1650.0,N105
1,777,1648.0,N105
1,5058,1233.0,N1
1,5058,1231.0,N1
1,5058,1229.0,N1
1,5058,1227.0,N1
1,677,3900.0,R301
1,777,1646.0,N105
1,6116,147.0,N1
1,5057,1225.0,N1
1,4094,9.0,N1
1,777,1644.0,N105
1,777,1642.0,N105
1,5683,253.0,N1
1,5056,1223.0,N1
1,5056,1221.0,N1
1,677,3902.0,R301
1,777,1640.0,N105
1,777,1638.0,N105
1,5056,1219.0,N1
1,5056,1217.0,N1
1,5056,1215.0,N1
1,777,1636.0,N105
1,777,1634.0,N105
1,5683,251.0,N1
1,544,1555.0,N104
1,5056,1213.0,N1
1,5056,1211.0,N1
1,677,3904.0,R301
1,4095,11.0,N1
1,4095,13.0,N1
1,4095,15.0,N1
1,777,1632.0,N105
1,6117,145.0,N1
1,679,3024.0,R140
1,543,1553.0,N104
1,543,1551.0,N104
1,5055,1209.0,N1
1,5055,1207.0,N1
1,5055,1205.0,N1
1,5055,1203.0,N1
1,676,3906.0,R301
1,4095,17.0,N1
1,4095,19.0,N1
1,5054,1201.0,N1
1,5054,1199.0,N1
1,5054,1197.0,N1
1,4094,21.0,N1
1,4094,23.0,N1
1,4094,25.0,N1
1,4094,27.0,N1
1,777,1630.0,N105
1,543,1549.0,N104
1,5053,1195.0,N1
1,5053,1193.0,N1
1,676,3908.0,R301
1,676,3910.0,R301
1,777,1628.0,N105
1,5777,243.0,N1
1,681,3022.0,R140
1,543,1547.0,N104
1,5052,1191.0,N1
1,5052,1189.0,N1
1,4093,29.0,N1
1,777,1626.0,N105
1,777,1624.0,N105
1,777,1622.0,N105
1,5776,241.0,N1
1,543,1545.0,N104
1,543,1543.0,N104
1,1232,2611.0,N2
1,5052,1187.0,N1
1,676,3912.0,R301
1,676,3914.0,R301
1,5775,239.0,N1
1,543,1541.0,N104
1,1232,2609.0,N2
1,1232,2607.0,N2
1,4093,31.0,N1
1,6114,143.0,N1
1,6112,141.0,N1
1,5774,237.0,N1
1,681,3020.0,R140
1,1232,2605.0,N2
1,1232,2603.0,N2
1,1232,2601.0,N2
1,5050,1185.0,N1
1,777,1620.0,N105
1,777,1618.0,N105
1,5774,235.0,N1
1,5774,233.0,N1
1,1232,2599.0,N2
1,1232,2597.0,N2
1,1232,2595.0,N2
1,5049,1183.0,N1
1,5049,1181.0,N1
1,4092,33.0,N1
1,4092,35.0,N1
1,777,1616.0,N105
1,777,1614.0,N105
1,4130,137.0,N1
1,5773,231.0,N1
1,5048,1179.0,N1
1,4091,37.0,N1
1,4091,39.0,N1
1,777,1612.0,N105
1,5773,229.0,N1
1,3852,1655.0,N2
1,681,3018.0,R140
1,543,1539.0,N104
1,5048,1177.0,N1
1,5048,1175.0,N1
1,4091,41.0,N1
1,777,1610.0,N105
1,5773,227.0,N1
1,543,1537.0,N104
1,1232,2593.0,N2
1,1232,2591.0,N2
1,5048,1173.0,N1
1,5048,1171.0,N1
1,777,1608.0,N105
1,777,1606.0,N105
1,4131,135.0,N1
1,5772,225.0,N1
1,683,3016.0,R140
1,5047,1169.0,N1
1,5047,1167.0,N1
1,4090,43.0,N1
1,4090,45.0,N1
1,777,1604.0,N105
1,5772,223.0,N1
1,543,1535.0,N104
1,5047,1165.0,N1
1,5047,1163.0,N1
1,4089,47.0,N1
1,777,1602.0,N105
1,778,1600.0,N105
1,5772,221.0,N1
1,683,3014.0,R140
1,543,1533.0,N104
1,5046,1161.0,N1
1,5046,1159.0,N1
1,778,1598.0,N105
1,4132,133.0,N1
1,5771,219.0,N1
1,5772,217.0,N1
1,543,1531.0,N104
1,543,1529.0,N104
1,5046,1157.0,N1
1,5046,1155.0,N1
1,4088,49.0,N1
1,4088,51.0,N1
1,4132,131.0,N1
1,543,1527.0,N104
1,1231,2589.0,N2
1,5046,1153.0,N1
1,5046,1151.0,N1
1,5046,1149.0,N1
1,4088,53.0,N1
1,4132,129.0,N1
1,5852,213.0,N1
1,543,1525.0,N104
1,1231,2587.0,N2
1,5045,1147.0,N1
1,676,3916.0,R301
1,676,3918.0,R301
1,778,1596.0,N105
1,778,1594.0,N105
1,5852,211.0,N1
1,683,3012.0,R140
1,1231,2585.0,N2
1,5044,1145.0,N1
1,5044,1143.0,N1
1,5044,1141.0,N1
1,5044,1139.0,N1
1,676,3920.0,R301
1,4087,55.0,N1
1,5851,209.0,N1
1,543,1523.0,N104
1,1231,2583.0,N2
1,1231,2581.0,N2
1,5043,1137.0,N1
1,5043,1135.0,N1
1,5043,1133.0,N1
1,778,1592.0,N105
1,683,3010.0,R140
1,1230,2579.0,N2
1,5042,1131.0,N1
1,5042,1129.0,N1
1,5042,1127.0,N1
1,5042,1125.0,N1
1,676,3922.0,R301
1,677,3924.0,R301
1,778,1590.0,N105
1,778,1588.0,N105
1,4130,127.0,N1
1,5851,207.0,N1
1,3158,1659.0,N2
1,543,1521.0,N104
1,1230,2577.0,N2
1,1230,2575.0,N2
1,5042,1123.0,N1
1,5042,1121.0,N1
1,5042,1119.0,N1
1,5042,1117.0,N1
1,677,3926.0,R301
1,677,3928.0,R301
1,4084,57.0,N1
1,4085,59.0,N1
1,778,1586.0,N105
1,778,1584.0,N105
1,5850,205.0,N1
1,2819,1663.0,N2
1,543,1519.0,N104
1,1230,2573.0,N2
1,5042,1115.0,N1
1,5042,1113.0,N1
1,5042,1111.0,N1
1,677,3930.0,R301
1,4084,61.0,N1
1,778,1582.0,N105
1,5851,203.0,N1
1,683,3008.0,R140
1,543,1517.0,N104
1,1230,2571.0,N2
1,5042,1109.0,N1
1,5042,1107.0,N1
1,5042,1105.0,N1
1,677,3932.0,R301
1,778,1580.0,N105
1,5852,201.0,N1
1,2818,1665.0,N2
1,1230,2569.0,N2
1,740,1560.0,N105
1,5041,1103.0,N1
1,5041,1101.0,N1
1,5041,1099.0,N1
1,5041,1097.0,N1
1,5042,1095.0,N1
1,4083,63.0,N1
1,4129,125.0,N1
1,5852,199.0,N1
1,2818,1667.0,N2
1,683,3006.0,R140
1,543,1515.0,N104
1,740,1562.0,N105
1,421,2678.0,N204
1,5041,1093.0,N1
1,5041,1091.0,N1
1,5041,1089.0,N1
1,4083,65.0,N1
1,778,1578.0,N105
1,683,3004.0,R140
1,1230,2567.0,N2
1,740,1564.0,N105
1,421,2676.0,N204
1,5041,1087.0,N1
1,5041,1085.0,N1
1,2806,1697.0,N2
1,4083,67.0,N1
1,778,1576.0,N105
1,778,1574.0,N105
1,4129,123.0,N1
1,5852,197.0,N1
1,5852,195.0,N1
1,5851,193.0,N1
1,2816,1669.0,N2
1,2816,1671.0,N2
1,543,1513.0,N104
1,1230,2565.0,N2
1,421,2674.0,N204
1,5040,1083.0,N1
1,5040,1081.0,N1
1,5040,1079.0,N1
1,5040,1077.0,N1
1,2807,1695.0,N2
1,4083,69.0,N1
1,5850,191.0,N1
1,683,3002.0,R140
1,1230,2563.0,N2
1,740,1566.0,N105
1,421,2672.0,N204
1,5039,1075.0,N1
1,5039,1073.0,N1
1,5039,1071.0,N1
1,5039,1069.0,N1
1,5039,1067.0,N1
1,5039,1065.0,N1
1,4083,71.0,N1
1,5851,189.0,N1
1,5850,187.0,N1
1,2815,1673.0,N2
1,479,3891.0,R250
1,5039,1063.0,N1
1,5039,1061.0,N1
1,4082,73.0,N1
1,4130,121.0,N1
1,5850,185.0,N1
1,2814,1675.0,N2
1,683,3000.0,R140
1,545,1511.0,N104
1,1231,2561.0,N2
1,425,3319.0,R203
1,479,3889.0,R250
1,5038,1059.0,N1
1,5038,1057.0,N1
1,5038,1055.0,N1
1,2810,1693.0,N2
1,4082,75.0,N1
1,4082,77.0,N1
1,4130,119.0,N1
1,5850,183.0,N1
1,2814,1677.0,N2
1,546,1509.0,N104
1,1231,2559.0,N2
1,425,3321.0,R203
1,424,3323.0,R203
1,740,1568.0,N105
1,740,1570.0,N105
1,421,2670.0,N204
1,421,2668.0,N204
1,421,2666.0,N204
1,479,3887.0,R250
1,5037,1053.0,N1
1,5037,1051.0,N1
1,5037,1049.0,N1
1,5037,1047.0,N1
1,2811,1691.0,N2
1,2812,1689.0,N2
1,4082,79.0,N1
1,4083,81.0,N1
1,5850,181.0,N1
1,5851,179.0,N1
1,5851,177.0,N1
1,2814,1679.0,N2
1,682,2998.0,R140
1,1231,2557.0,N2
1,424,3325.0,R203
1,421,2664.0,N204
1,479,3885.0,R250
1,5036,1045.0,N1
1,5036,1043.0,N1
1,5036,1041.0,N1
1,2812,1687.0,N2
1,2814,1681.0,N2
1,682,2996.0,R140
1,682,2994.0,R140
1,546,1507.0,N104
1,1231,2555.0,N2
1,424,3327.0,R203
1,421,2662.0,N204
1,479,3883.0,R250
1,479,3881.0,R250
1,5036,1039.0,N1
1,5036,1037.0,N1
1,4082,83.0,N1
1,4082,85.0,N1
1,4082,87.0,N1
1,4130,117.0,N1
1,5850,175.0,N1
1,2814,1683.0,N2
1,681,2992.0,R140
1,546,1505.0,N104
1,1231,2553.0,N2
1,1231,2551.0,N2
1,479,3879.0,R250
1,5035,1035.0,N1
1,2813,1685.0,N2
1,5849,173.0,N1
1,1230,2549.0,N2
1,424,3329.0,R203
1,424,3331.0,R203
1,424,3333.0,R203
1,421,2660.0,N204
1,5034,1033.0,N1
1,5034,1031.0,N1
1,5034,1029.0,N1
1,4081,89.0,N1
1,4132,115.0,N1
1,424,3335.0,R203
1,421,2658.0,N204
1,5033,1027.0,N1
1,5033,1025.0,N1
1,5033,1023.0,N1
